Story ID, Story Name                                  , Description                                                                                                                           , Priority , Iteration (Sprint) number, Acceptance Criteria                                                                                                                          , Estimation, Notes                                                                               , Date started (or planned), Date finished (or planned)
US01    , Create Applicant Profile                    , "As a TA applicant,
                                                        I want to create my applicant profile,
                                                        So that I can prepare for applying for available jobs."                                                                               , very high,                         1, "1. The applicant can enter personal and academic information including name, student ID, programme, year of study, skills, and availability.
                                                                                                                                                                                                                                      2. Required fields must be completed before saving.
                                                                                                                                                                                                                                      3. The profile can be saved and reopened later.
                                                                                                                                                                                                                                      4. An error message is shown if required fields are missing."                                                                                ,          3, Pre-application stage; core preparation function.                                   , 2026/3/13                , 2026/3/28
US02    , Edit Applicant Profile                      , "As a TA applicant,
                                                        I want to edit my applicant profile,
                                                        So that my information remains accurate before or after submitting an application."                                                   , high     ,                         2, "1. The applicant can update saved profile information.
                                                                                                                                                                                                                                      2. Updated information is saved correctly.
                                                                                                                                                                                                                                      3. Existing data is not lost unexpectedly."                                                                                                  ,          2, Profile maintenance after first draft submission.                                   , 2026/3/20                , 2026/3/26
US03    , Upload CV                                   , "As a TA applicant,
                                                        I want to upload my CV,
                                                        So that I can complete the application requirements for job applications."                                                            , very high,                         1, "1. The applicant can upload a CV file from local storage.
                                                                                                                                                                                                                                      2. Only PDF and DOC files are accepted.
                                                                                                                                                                                                                                      3. The uploaded file name is displayed after a successful upload.
                                                                                                                                                                                                                                      4. The applicant can replace the uploaded CV with a new version.
                                                                                                                                                                                                                                      5. An error message is shown if no file is selected or the file format is invalid."                                                          ,          3, Required before application submission.                                             , 2026/3/13                , 2026/3/26
US04    , Browse Available Jobs                       , "As a TA applicant,
                                                        I want to browse available jobs,
                                                        So that I can identify suitable opportunities before applying."                                                                       , very high,                         1, "1. The system displays a list of open jobs.
                                                                                                                                                                                                                                      2. Each job card shows at least the title, module or activity, hours, deadline, and status.
                                                                                                                                                                                                                                      3. Closed jobs are not shown in the default list."                                                                                           ,          3, Core browsing function in pre-application stage.                                    , 2026/3/13                , 2026/3/28
US05    , Filter and Search Jobs                      , "As a TA applicant,
                                                        I want to filter and search jobs,
                                                        So that I can find suitable jobs more efficiently."                                                                                   , medium   ,                         2, "1. The applicant can filter jobs by module or activity, type, and keyword.
                                                                                                                                                                                                                                      2. Filtered results update correctly.
                                                                                                                                                                                                                                      3. An empty-state message is shown if no result matches."                                                                                    ,          3, Usability improvement for job discovery.                                            , 2026/3/20                , 2026/3/26
US06    , View Job Details                            , "As a TA applicant,
                                                        I want to view detailed job information,
                                                        So that I can decide whether I should apply."                                                                                         , very high,                         1, "1. The applicant can open a job detail page from the job list.
                                                                                                                                                                                                                                      2. Job details include description, required skills or knowledge, hours, deadline, and organiser information.
                                                                                                                                                                                                                                      3. The page clearly shows whether the job is open or closed.
                                                                                                                                                                                                                                      4. Required skills and knowledge are clearly displayed before the applicant applies."                                                        ,          2, Supports application decision-making.                                               , 2026/3/13                , 2026/3/28
US07    , Submit Application                          , "As a TA applicant,
                                                        I want to submit an application for a job,
                                                        So that I can be considered for the position."                                                                                        , very high,                         1, "1. The applicant must complete profile information before applying.
                                                                                                                                                                                                                                      2. The applicant must upload a CV before applying.
                                                                                                                                                                                                                                      3. An applicant can apply for at most three jobs.
                                                                                                                                                                                                                                      4. An applicant cannot apply to the same job twice.
                                                                                                                                                                                                                                      5. An applicant cannot apply to a closed job or after the deadline.
                                                                                                                                                                                                                                      6. The system confirms successful submission.
                                                                                                                                                                                                                                      7. The submitted application is recorded in the applicant's application list.
                                                                                                                                                                                                                                      8. The MO can view the submitted application."                                                                                               ,          5, Core application feature; submission stage.                                         , 2026/3/13                , 2026/3/24
US08    , View Application Status                     , "As a TA applicant,
                                                        I want to view the status of my submitted applications,
                                                        So that I know whether my application is under review, waitlisted, rejected, or selected."                                            , very high,                         1, "1. The applicant can open a 'My Applications' page.
                                                                                                                                                                                                                                      2. Each application shows job title, application date, latest status update time, and current status.
                                                                                                                                                                                                                                      3. Status labels, including Rejected, are displayed clearly and consistently.
                                                                                                                                                                                                                                      4. The applicant can access related job details from the application record."                                                                ,          3, Post-submission tracking.                                                           , 2026/3/13                , 2026/3/24
US09    , Withdraw Application                        , "As a TA applicant,
                                                        I want to withdraw my application before a decision is made,
                                                        So that I can stop being considered if my situation changes."                                                                         , medium   ,                         2, "1. The applicant can withdraw an application only when its status is still pending or under review.
                                                                                                                                                                                                                                      2. Withdrawn applications are clearly marked.
                                                                                                                                                                                                                                      3. The MO can see that the application was withdrawn."                                                                                       ,          3, Optional post-submission control.                                                   , 2026/3/20                , 2026/3/26
US10    , View Selection Result and Assignment Details, "As a selected TA,
                                                        I want to see that I have been selected and view the related assignment details,
                                                        So that I know what role I have been assigned to."                                                                                    , high     ,                         2, "1. The selected applicant can see the updated status as 'Selected'.
                                                                                                                                                                                                                                      2. The assigned job details are clearly displayed.
                                                                                                                                                                                                                                      3. The selected TA can view module or activity name, expected hours, and organiser information."                                             ,          3, Post-selection onboarding starts here.                                              , 2026/3/20                , 2026/3/26
US11    , Acknowledge Selection Result                , "As a selected TA,
                                                        I want to confirm that I have seen my selection result,
                                                        So that the system can record my acknowledgement."                                                                                    , medium   ,                         2, "1. The selected TA can open the assigned job record and acknowledge the result.
                                                                                                                                                                                                                                      2. The system records the acknowledgement status.
                                                                                                                                                                                                                                      3. A confirmation message is shown after acknowledgement."                                                                                   ,          2, Optional onboarding step after selection.                                           , 2026/3/20                , 2026/3/26
US12    , Create Job Post                             , "As an MO, I want to create and publish a job post so that qualified students can apply for available TA opportunities."              , very high,                         1, "1. The MO can enter job title, module or activity, role description, requirements, hours, deadline, and number of vacancies.
                                                                                                                                                                                                                                      2. Required fields must be completed before publishing.
                                                                                                                                                                                                                                      3. Published jobs appear in the TA applicant job list.
                                                                                                                                                                                                                                      4. The MO can save the job as a draft or publish it directly."                                                                               ,          5, Core MO function.                                                                   , 2026/3/17                , 2026/3/25
US13    , Edit or Close Job Post                      , "As an MO, I want to edit or close a job post so that outdated or filled jobs are no longer available for new applications."          , high     ,                         2, "1. The MO can edit job details before the deadline.
                                                                                                                                                                                                                                      2. The MO can close a job post manually.
                                                                                                                                                                                                                                      3. Closed jobs are marked as closed and cannot receive new applications."                                                                    ,          3, Job lifecycle management.                                                           , 2026/3/17                , 2026/3/26
US14    , View Applicant List                         , "As an MO, I want to view applicants for a specific job so that I can review candidates efficiently."                                 , very high,                         1, "1. The MO can open a list of applicants for each posted job.
                                                                                                                                                                                                                                      2. Each applicant entry shows name, programme, availability, and application status.
                                                                                                                                                                                                                                      3. The applicant count is displayed clearly for the job."                                                                                    ,          3, Core MO review step.                                                                , 2026/3/18                , 2026/3/27
US15    , Review Applicant Details and CV             , "As an MO, I want to review an applicant's full profile and CV so that I can make an informed selection decision."                    , very high,                         1, "1. The MO can open an applicant detail page from the applicant list.
                                                                                                                                                                                                                                      2. The page shows profile information and CV access.
                                                                                                                                                                                                                                      3. The MO can return to the applicant list without losing context."                                                                          ,          3, Supports MO decision quality.                                                       , 2026/3/17                , 2026/3/25
US16    , View My Posted Jobs                         , "As an MO, I want to view all jobs I have posted so that I can manage them efficiently."                                              , high     ,                         2, "1. The MO can open a page showing all jobs they have created.
                                                                                                                                                                                                                                      2. Each job record shows at least the title, status, deadline, and applicant count.
                                                                                                                                                                                                                                      3. The MO can open a specific job from the list to edit it or review applicants.
                                                                                                                                                                                                                                      4. Open, draft, and closed jobs are clearly distinguishable."                                                                                ,          3, "Provides the management entry point for edit, close, and applicant review actions.", 2026/3/24                , 2026/3/29
US17    , Update Applicant Decision                   , "As an MO, I want to mark applicants as selected, rejected, or waitlisted so that the recruitment outcome is recorded clearly."       , very high,                         1, "1. The MO can set the application outcome to Selected, Rejected, or Waitlisted.
                                                                                                                                                                                                                                      2. The updated decision is reflected in the applicant list.
                                                                                                                                                                                                                                      3. The TA applicant sees the updated status in My Applications.
                                                                                                                                                                                                                                      4. The system prevents selecting a TA for more than three jobs.
                                                                                                                                                                                                                                      5. The MO is warned if the TA has reached the workload limit."                                                                               ,          5, Core recruitment decision function.                                                 , 2026/3/18                , 2026/3/26
US18    , View TA Workload Summary                    , "As an admin, I want to view each TA's overall workload so that I can monitor allocation fairness and identify over-allocation risks.", very high,                         1, "1. The admin can view a list of selected TAs with workload summary.
                                                                                                                                                                                                                                      2. The summary includes TA name, number of assigned posts, and total hours.
                                                                                                                                                                                                                                      3. Workload is calculated based on selected jobs only.
                                                                                                                                                                                                                                      4. Potentially overloaded TAs are easy to identify."                                                                                         ,          3, Core admin monitoring feature.                                                      , 2026/3/15                , 2026/3/23
US19    , Filter Workload Records                     , "As an admin, I want to filter workload records so that I can inspect specific TAs or overloaded cases more efficiently."             , medium   ,                         2, "1. The admin can search by TA name or student ID.
                                                                                                                                                                                                                                      2. The admin can filter by workload status.
                                                                                                                                                                                                                                      3. An empty-state message is shown if no record matches the filter."                                                                         ,          2, Admin usability improvement.                                                        , 2026/3/23                , 2026/3/28
US20    , View Workload Alerts                        , "As an admin, I want to see workload alerts for selected TAs so that I can quickly identify fairness or over-allocation issues."      , high     ,                         2, "1. The system flags selected TAs whose workload exceeds a clearly defined threshold.
                                                                                                                                                                                                                                      2. Alerted records are visually distinguishable in the workload view.
                                                                                                                                                                                                                                      3. The admin can inspect the related selected assignments for the flagged TA."                                                               ,          3, Supports fairness oversight.                                                        , 2026/3/18                , 2026/3/27
US21    , User Login                                  , "As a user, I want to log into the system so that I can access the functions available to my role."                                   , very high,                         1, "1. A user can enter valid login credentials and access the system successfully.
                                                                                                                                                                                                                                      2. An error message is shown if the credentials are invalid.
                                                                                                                                                                                                                                      3. After login, the user is directed to the correct role-specific page or dashboard.
                                                                                                                                                                                                                                      4. The system keeps the user logged in during the current session."                                                                          ,          3, Core website entry point; required before role-specific functions can be used.      , 2026/3/13                , 2026/3/23
US22    , User Logout                                 , "As a logged-in user, I want to log out of the system so that my account is protected when I finish using it."                        , medium   ,                         2, "1. A logged-in user can click a logout option to end the session.
                                                                                                                                                                                                                                      2. After logout, the user is redirected to the login page.
                                                                                                                                                                                                                                      3. Protected pages cannot be accessed directly after logout.
                                                                                                                                                                                                                                      4. A clear message is shown when logout is completed successfully."                                                                          ,          2, Basic account security and session control.                                         , 2026/3/17                , 2026/3/24
